mandarin,wu
更不会对美接触过得人有感觉！,更加伐会对没接触过呃拧有感觉！
我没找啊！我就说没几个长的好看的,吾没寻啊！吾就讲没记几个长勒好看呃
哈哈哈 祝您开心！,哈哈 祝侬开心！
我哭了 所以才问你,吾哭了 所以才再问侬
给他讲清道理 不厌烦的讲,帮伊讲清道理 伐厌烦呃讲
啵你先睡啊写会心情,波 侬先困伐写会心情
我可不想在和你结婚以前就变成黄脸婆,吾可伐想帮侬结婚就变成老菜皮
那你干嘛 不陪我,搿侬做撒伐陪吾
还要你自己调整了。,还要侬自家调整了。
呵呵你没有懂我意思！,呵呵侬么懂吾呃意思！
哦，我先睡了，安,哦，吾先困勒，再会
你就一个借口都没有,侬就一个借口阿没
天天都只做会考卷子，白天就做完了,天天都 侪只会做考卷子，白天就考好了
睡觉吧！不想说了,困觉伐！伐想讲了
我也好久没有练过口材了,吾啊好老多辰光没练过口材勒
亲爱的 把背靠过来 搂着你,亲爱呃，拿背靠过来，搂着侬
我又睡不着了啊！,吾又困伐着了呀！
哈哈。。。我比你小？？？？,哈哈。。。吾比侬小？？？？
赶快睡吧呵呵,快眼困伐呵呵
我想早上起来背背！,吾想早哴相起来背背！
在抄昨天弄的论文就没有给你回,嘞抄昨日弄呃论文就没拨侬回
好的，考试的事搞定没？,好呃，考试呃事体搞定了伐？
明天本班考就看不见你喽！,明朝本班考就看伐到侬了！
你是和静的么，？,侬是和静呃么，？
没有 正在给你写信息,没 正辣辣拨侬写信息嘞
永远不会变！,永远伐会的变
就刚呢么一会儿，可能没适应。,就刚刚一歇歇，可能还没适应。
把现在的号关了，反正已停了！,拿现在额号关特了，反正已经停特了！
老婆回短信吗 回电话吗,老婆回短信伐？回电话伐？
我先睡了有点困现在 我会想你的宝贝,吾先困高了有点瞌冲现在吾会得想侬呃宝贝
心放宽什么样的事都没了,心放宽啥呃事体也没了
反正我对我自己已经没信心了！,反正吾对吾自家已经没信心了！
你不给我打电话你让我结什么呀,侬伐拨吾打电话侬让吾急死呀
谁叫你刚才不回我短信的,撒拧叫侬刚刚伐回吾短信呃
是不是今天很辛苦，睡着了？,是伐是今朝老辛苦，困着了？
我讲，不要让我担心，好不好琳琳？,吾讲，伐让吾担心，好伐好琳琳？
休息注意身体小琴发,休息注意身体小琴发
我相信你我这边很热,吾相信侬，吾搿边老热
他亲儿子不要我也不会要的也不带,伊亲儿子啊伐要 吾也吾会得要呃也伐带
给我回短信要破产！,帮吾回短信要破产！
好的宝贝，你早点睡吧。,好呃宝贝，侬早眼困觉伐。
我们还是我们！,阿拉还是阿拉！
刚才不是在上网吗,前头伐是辣辣上网吗
宝贝是我错了！,宝贝是吾错了！
恩 好的 木,呣，好呃，么
我想问一句 你在乎过我吗,吾想问一句 侬在乎过吾伐
好吧 再见,好伐 再会
要养就待时间长点了。你看一辈子怎样？,要养就要时间长眼了。侬看一辈子哪能？
那回麽！刚收到！,葛末回伐！刚刚收到！
没收到 手机被我边摔坏了,没收到手机被吾掼坏特了
我在想我认识你就要离开呢？,吾辣该想吾认得侬就要离开呢？
弄好了回短信,弄好了回短信
你什么时候回来？我想念你,侬啥辰光回来？吾老想侬呃
有时间再联系我,有辰光再联系吾
你不信爱的力量么,侬伐信爱呃力量吗
自己好自为之吧,自家好自为之吧。
星期五可以见嘛,礼拜五好碰着头伐
我是你的坏朋友阿依多思。,吾是侬呃坏朋友阿依多思。
这么晚了现在出去转？杂了，干哈了？,介晚了还出去孛相？做撒，做撒勒？
还在米泉噢 晚上就不回去了啊,还辣米泉噢 夜头就伐回去了啦
忍不住了，亲一下！,屏伐老了，亲一口！
好谢谢你 有空请你吃饭,好呃，谢谢侬，有空请侬切饭
猪说话要算话吧,猪讲闲话要算闲话伐
嗯，你快也睡吧噢。,嗯，侬啊快眼困觉伐噢。
一切都是那么完美,一切侪是介完美
