mandarin,wu
那个生 那是什么不是什么不许是看来,张先生，搿是啥人啊？我好像从来呒没看见过歇？
那是我朋友的他是哪段东西是份爱的。,搿是我朋友。伊是张格里，是外商代理。
认识你很心点，一个人为什么公,认得侬老开心个，一回生，两回熟。
你恋姿势睡觉吧,侬贵姓？阿拉好像勿认得伐？
我叫中，我，三近，和谁为什么不？,我叫王阿毛，三横王，侬叫啥名字啊？
哦，我专业，叫着成视吗 刚才在过来。,哦，我姓王，叫王建军，刚刚搬过来。
和你们唱歌里上，事我们宿舍得很拉。,帮侬介绍我个朋友，毛阿敏，唱歌唱得老有名气个。
你能做到你们俩开心里感觉得好吗,侬好，碰到侬邪气开心。交关辰光呒没碰到侬了。
我好好点，你呢？好吗？为什么不忙吗,我老好个，侬呢？好伐？迭抢忙伐？
我也很好吗。谢谢谢谢了。,我也老好个。谢谢侬关心。
你这么怎么？你这条在宿舍什么样？,侬搿腔哪能？侬搿腔辣嗨忙啥事体？
都好吗？你到底在红柿,侪好伐？侬到底辣嗨忙啥？
你意成凉不好，你们猜工作一次太多。,侬面色勿大好，侬要保重自家，勿要忒吃力。
都许好，你高兴结婚。,侪蛮好，侬放一百只心。
家里都身体好吗,屋里向人侪身体好伐?
你身体怎么样？好了么不了吗,侬身体哪能？毛病好了伐？
我好好呀！能过工资工作心！,我老好个！侬千万覅担心
一般谈工作不能也许上工作就是这样呀,一般性，谈勿上好也谈勿上勿好。就是搿恁介了，还能哪恁？做人要求也勿好忒高，侬讲是伐？
老果好点，真是一下工作10上班了,老勿好个，真个是一塌糊涂，一日到夜往医院里跑？要拿医院当屋里快了。
你说呢 老实话，一个事情了你们不知道,侬呢，讲老实闲话，我一直老牵记侬个，勿晓得侬过了好伐？
我涕一好好工作，上班都忍心里走了。,我日脚老好过个，上班勿吃力，家务末请了保姆，葛唠我迭歇身体状况好交关了。
谢谢你关心，你们那么一下心里我们了。,谢谢侬个关心，侬介忙，还心里想着阿拉，阿拉老感动个。
恋 我们俩呢 他们不能都不休息了吗,㑚阿爸呒妈呢，伊拉好伐？应该侪退休了伐？
她们都好好，好好吗！你们工作难受的。,伊拉侪蛮好，老好个！谢谢侬还想得到关心我阿爸姆妈。
小时好吗？应该高兴了吗？,小人好伐？应该读高中了对伐？
马上写作不是很好。,马马虎虎，勿是老好。只好讲还过得过去。
那里她在医院子结什么了们一下的工作。,搿歇伊辣嗨准备高考，忙得了一塌糊涂。
长在没有见到家里呢，什么了 怎么样,长远呒没碰到侬屋里向个人了，代我帮㑚屋里向问好。
第一工作怎么是？你干什么一个人呀,迭腔工作哪能？侬是做啥个生活个？
我是机四工作工作一下呢，还是工作业呢,我是机修工，工作老忙个，外加还要自学英文，否则说明书看勿懂。
你在新吗做个近干活？,侬辣嗨阿里只公司做生活？离搿搭远伐？
你上个话说好吗？好吗？你们在哪里呀,侬上海闲话讲得老好个？侬辣嗨啊里搭学个啊？
你在新吗呢为什么大啊,侬辣嗨啊里读个大学啊？
时候不早睡了，我们要干活了。,辰光勿早了，阿拉要去做生活了。
我是上个子，到这来看呀。,我是上海个，到搿搭来出差。
那在乎里一个检过几天。,搿歇辣嗨一个幼儿园做老师。
你不是上来吗？那怎么是什么都不着急呢,侬勿是上海来个啊？葛末我搞错脱了唠？侬到底啊里搭个啊？
你现在干吗呢？还在干吗？,侬现在做啥个？还辣辣做老师？
哦，我还是学工作成事呢 上在上呢,哦，我还是个学生睐，我辣盖上海上大学。搿歇辣辣放暑假。
29鼻炎点学习吧？难受呀,读书蛮辛苦个，学习难伐？要注意身体。
恋上床上班子工作一点都不上学习。,读书便当来兮，一眼也勿难，我学习老好个。
有什么好事要说给我们不？,有啥好事体要讲拨阿拉听伐？
没有啥和别个事好说呢，第一般啊,呒没啥特别个事体好讲个，一日三顿饭，老样子。
你这个人好好，知道一种不能说你呀。,侬搿人老好个，见多识广，帮侬讲闲话老开心个。
你这个好好好，别过话呢 别人会得车,侬搿人好是好个，别过闲话忒多，人家会嫌鄙侬忒啰嗦。
好来 你们在等钱了 出车了 为什么,好来，侬覅辣盖搿搭出洋相了，退灶司勿啦。
我在感冒工作不清 明天是一下你是想你,我发觉侬老拎勿清个，明明叫人家是想帮侬忙，侬还冲人家，人家真个叫是：阿王炒年糕，吃力勿讨好。
你在新位么办法成为什么。,侬辣嗨搭仔阿拉淘浆糊。
你们俩工资料呢,侬拗造型唠！
他看信息吗，为什么成绩还好呀,伊看看滑稽戏，茄茄山胡，日脚到蛮好过个。
她公司过得好久都不要她们俩里,伊日脚过得老适意个，伊属于会得享福个。
她家定长，长成绩又狠二,伊胖嘟嘟个，面孔长得的粒滚圆。
你俩里吗呢 老婆,侬年纪轻轻，老三老四。
们要做在干吗呢，再见面呢还在一下了。,先要乘44路两站，再转地铁一号线，可以到了。
那是路呐 我们一下去了。,葛是路蛮远个，阿拉叫差头去算了。
谢谢你们这是什么地方？,谢谢侬搿搭是啥地方？
不能意思这两个地址有什么都不上班了,勿好意思搿条路是啥路？我刚来上海，一眼方向也呒没。
请上你平饭钱门外面没有吗？,请问侬和平饭店离搿搭远伐？两只脚走得到伐？
对不起睡觉鼻炎犯里看一点,对勿起，到南京东路哪能走近一点？
我一会俩呢？怎么骗子我？那里样？,我搿歇个位置辣地图高头阿里搭？谢谢侬帮我指一指好伐？
那个地方是是哄9标吗,阿里个方向是朝南？
那个地方是是是为？,阿里个方向是朝北？
只是刚走心里吗？,一直朝前走对伐？
谢谢你和我这段时间查什么二。,谢谢侬帮我搿张纸头浪向画则草图。
请问问题吗？有恋似吗？,请问搿搭附近有厕所伐？
1里路工作业呢宝贝不能干嘛呢？,94路朝襄阳北路方向开个公交车阿里乘？
286路上新华车,126路朝新开河方向开个电车拉阿里乘？
你个地址说给我道事好吗,侬个地址讲拨我听好伐？
我在乎里路上醒过份证呢，又对你也不知,我辣辣淮海路850号602室，霞飞弄侬晓得伐？就辣辣霞飞弄隔壁。
对不起误爽子宿舍里面什么样呀,对勿起，850号辣盖啥地方？
冬青往雨走， ，你不着急呢。,笔直往里走，辣盖弄堂着着里向头。
谢谢你和我和点一下。,谢谢侬帮我指点一下。
那里应该叫来眼云尔子房子第第第一样。,搿条弄堂笔直跑跑到底，右手倒数第二间房子就是。
走到那一般都白舞里第一起子一直在一起,跑到搿面一条小弄堂左转转弯，然后一直跑到底就到了。
在第第二车第第第第第二中呢 有一个,辣辣第二排房子个第三家，门口贴有军人家属个就是。
谢谢中山山车10呢？在在走,谢谢侬中山北路五十两号辣辣阿里搭？走路走得到伐？还是讲一定要乘车子啊？
冬青往前表聊点都路车啦第第第一次,笔直往前头走，到路口朝右转弯走到第二条弄堂就是了。
请上到大伯的空间聊上怎么样呀,请问到大世界去哪能走？走过去大概要多少辰光啊？
你只是前蹄刚走事了一下班了呢,侬一直朝前头走，过了红绿灯就到了，门口有牌子个，一看就看到。
那去个人民怎么样呢？那么走,葛末去人民广场哪能介走法？
嗯是鼻炎成熟四了，手术那里看过去呢,此地是南京路、西藏路口，侬从搿搭过去到埃面，穿过第二条横马路，再往前走过去眼就到了。
怎么这个字没有时间看不管呢。,哪能介远个？七转八弯个，人也转糊涂脱了。
什么说说？那怎么到那么不能不急呐,啥人讲个？从搿搭到埃面老近个？就500米横里，走走一歇歇。
那个有只有猫子为什么呢？他们不得？,埃面有只书报亭，搿面有爿超市，侬看得到伐？
你说什么在写作业去网车。,侬到搿搭转弯角子浪去乘地铁。
你在上到吗呢怎么不是什么了我在一下,侬现在到啊里搭去啊？要是呒没地方去就到我屋里去。我一家头老厌气个，侬来了闹忙。
我想去找道楚呀，我好吗？他都没有了,我想去寻徐峥，我交关辰光呒没碰到伊了，去望望伊，看伊有啥要帮忙伐？
我想和他一起去为什么不在10呢,我想帮伊一道去世纪公园，辣嗨里向租一辆脚踏车踏踏。
好丫头水想我们一起去了 明天们一起。,好个呀，脱我想到一道去了，明朝阿拉一道去。
是好了，那我们在闲聊里呀？,忒好了，葛末阿拉辣盖啥地方碰头啊？可能要早一眼。
明天早上俩女朋友阿 我们每次,明朝早浪向8点半钟， 阿拉辣盖学堂门口头。
让两桌去也去，你和他一声好吗？,让孙俪也去，侬帮伊讲一声，好伐？去勿去是伊个事体，阿拉一定要叫伊一声。
好里吧 一定和他说，你们心里我的事了,好个，我一定帮伊讲，侬放心，迭个事体就交拨我了。
请问，老婆 不结婚在车呢,请问，老卵辣盖伐？上海戏剧学院派人来寻伊。
她不在出来了去了。怎么不在看啊,伊勿辣盖，伊出去了。要老晏转来。有啥事体侬明朝来寻伊。
他去也每次？可以前有和他10号里吗,伊去啊里搭了？可以告诉我伊个手机号码伐？我有急事体。
